Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
C.J. Anderson,DEN,23,RB,15,7,179,849,8,47,27,4.7,56.6,1,2014
Tre Mason,STL,21,RB,12,9,179,765,4,38,89,4.3,63.8,2,2014
Jonathan Stewart,CAR,27,RB,13,8,175,809,3,42,69,4.6,62.2,3,2014
Terrance West,CLE,23,RB,14,6,171,673,4,31,36,3.9,48.1,2,2014
Alfred Blue,HOU,23,RB,16,3,169,528,2,29,46,3.1,33,0,2014
Giovani Bernard,CIN,23,RB,13,9,168,680,5,32,89,4,52.3,0,2014
Rashad Jennings,NYG,29,RB,11,9,167,639,4,39,18,3.8,58.1,1,2014
Matt Asiata,MIN,27,RB,15,9,164,570,9,34,19,3.5,38,1,2014
Branden Oliver,SDG,23,RB,14,7,160,582,3,31,52,3.6,41.6,0,2014
Trent Richardson,IND,24,RB,15,12,159,519,3,27,27,3.3,34.6,2,2014
LeSean McCoy,PHI,25,RB,16,16,314,1607,9,79,57,5.1,100.4,1,2013
Marshawn Lynch,SEA,27,RB,16,16,301,1257,12,73,43,4.2,78.6,4,2013
Matt Forte,CHI,28,RB,16,16,289,1339,9,73,55,4.6,83.7,2,2013
Ryan Mathews,SDG,26,RB,16,14,285,1255,6,55,51,4.4,78.4,2,2013
Eddie Lacy,GNB,23,RB,15,15,284,1178,11,63,60,4.1,78.5,1,2013
Chris Johnson,TEN,28,RB,16,16,279,1077,6,57,30,3.9,67.3,3,2013
Adrian Peterson,MIN,28,RB,14,14,279,1266,10,61,78,4.5,90.4,5,2013
Frank Gore,SFO,30,RB,16,16,276,1128,9,50,51,4.1,70.5,3,2013
Alfred Morris,WAS,25,RB,16,16,276,1275,7,61,45,4.6,79.7,5,2013
Jamaal Charles,KAN,27,RB,15,15,259,1287,12,72,46,5,85.8,4,2013
Zac Stacy,STL,22,RB,14,12,250,973,7,48,40,3.9,69.5,1,2013
Le'Veon Bell,PIT,21,RB,13,13,244,860,8,53,43,3.5,66.2,1,2013
Knowshon Moreno,DEN,26,RB,16,15,241,1038,10,56,31,4.3,64.9,2,2013
Maurice Jones-Drew,JAX,28,RB,15,15,234,803,5,46,48,3.4,53.5,1,2013
Reggie Bush,DET,28,RB,14,14,223,1006,4,49,39,4.5,71.9,5,2013
BenJarvus Green-Ellis,CIN,28,RB,16,16,220,756,7,49,25,3.4,47.3,2,2013
Rashard Mendenhall,ARI,26,RB,15,15,217,687,8,45,28,3.2,45.8,4,2013
DeMarco Murray,DAL,25,RB,14,14,217,1121,9,65,43,5.2,80.1,3,2013
Ray Rice,BAL,26,RB,15,15,214,660,4,28,47,3.1,44,2,2013
Fred Jackson,BUF,32,RB,16,6,206,890,9,54,59,4.3,55.6,3,2013
C.J. Spiller,BUF,26,RB,15,10,202,933,2,27,77,4.6,62.2,4,2013
DeAngelo Williams,CAR,30,RB,15,15,201,843,3,36,43,4.2,56.2,3,2013
Trent Richardson,2TM,23,RB,16,10,188,563,3,0,22,3,35.2,3,2013
Chris Ivory,NYJ,25,RB,15,6,182,833,3,35,69,4.6,55.5,2,2013
Ben Tate,HOU,25,RB,14,7,181,771,4,37,60,4.3,55.1,5,2013
Stevan Ridley,NWE,24,RB,14,6,178,773,7,40,29,4.3,55.2,4,2013
Lamar Miller,MIA,22,RB,16,15,177,709,2,27,49,4,44.3,1,2013
Bilal Powell,NYJ,25,RB,16,11,176,697,1,36,39,4,43.6,1,2013
Giovani Bernard,CIN,22,RB,16,0,170,695,5,33,35,4.1,43.4,2,2013
Arian Foster,HOU,26,RB,16,16,351,1424,15,78,46,4.1,89,3,2012
Adrian Peterson,MIN,27,RB,16,16,348,2097,12,88,82,6,131.1,4,2012
Alfred Morris,WAS,24,RB,16,16,335,1613,13,86,39,4.8,100.8,4,2012
Doug Martin,TAM,23,RB,16,16,319,1454,11,64,70,4.6,90.9,1,2012
Marshawn Lynch,SEA,26,RB,16,15,315,1590,11,70,77,5,99.4,5,2012
Stevan Ridley,NWE,23,RB,16,12,290,1263,12,83,41,4.4,78.9,4,2012
Jamaal Charles,KAN,26,RB,16,15,285,1509,5,63,91,5.3,94.3,5,2012
BenJarvus Green-Ellis,CIN,27,RB,15,15,278,1094,6,55,48,3.9,72.9,3,2012
Shonn Greene,NYJ,27,RB,16,14,276,1063,8,52,36,3.9,66.4,4,2012
Chris Johnson,TEN,27,RB,16,15,276,1243,6,46,94,4.5,77.7,5,2012
Trent Richardson,CLE,22,RB,15,15,267,950,11,38,32,3.6,63.3,3,2012
Frank Gore,SFO,29,RB,16,16,258,1214,8,68,37,4.7,75.9,3,2012
Steven Jackson,STL,29,RB,16,16,258,1045,4,49,46,4.1,65.3,0,2012
Ray Rice,BAL,25,RB,16,16,257,1143,9,52,46,4.4,71.4,1,2012
Matt Forte,CHI,27,RB,15,15,248,1094,5,45,46,4.4,72.9,2,2012
Reggie Bush,MIA,27,RB,16,16,227,986,6,43,65,4.3,61.6,4,2012
Michael Turner,ATL,30,RB,16,16,222,800,10,40,43,3.6,50,3,2012
Ahmad Bradshaw,NYG,26,RB,14,12,221,1015,6,58,37,4.6,72.5,3,2012
Darren McFadden,OAK,25,RB,12,12,216,707,2,35,64,3.3,58.9,2,2012
Mikel Leshoure,DET,22,RB,14,14,215,798,9,47,16,3.7,57,3,2012
Vick Ballard,IND,22,RB,16,12,211,814,2,52,26,3.9,50.9,3,2012
C.J. Spiller,BUF,25,RB,16,9,207,1244,6,53,62,6,77.8,3,2012
