Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Jonathan Stewart,CAR,22,RB,16,3,221,1133,10,54,67,5.1,70.8,3,2009
Joseph Addai,IND,26,RB,15,15,219,828,10,44,21,3.8,55.2,1,2009
Kevin Smith,DET,23,RB,13,13,217,747,4,41,31,3.4,57.5,3,2009
DeAngelo Williams,CAR,26,RB,13,13,216,1117,7,51,77,5.2,85.9,3,2009
Marion Barber III,DAL,26,RB,15,15,214,932,7,60,35,4.4,62.1,2,2009
Cadillac Williams,TAM,27,RB,16,15,211,823,4,43,35,3.9,51.4,1,2009
Jerome Harrison,CLE,26,RB,14,7,194,862,5,39,71,4.4,61.6,2,2009
Laurence Maroney,NWE,24,RB,15,5,194,757,9,45,45,3.9,50.5,4,2009
Jamaal Charles,KAN,23,RB,15,10,190,1120,7,54,76,5.9,74.7,4,2009
Larry Johnson,2TM,30,RB,14,7,178,581,0,0,27,3.3,41.5,2,2009
Michael Turner,ATL,27,RB,11,11,178,871,10,43,58,4.9,79.2,4,2009
Julius Jones,SEA,28,RB,14,14,177,663,2,33,62,3.7,47.4,0,2009
Beanie Wells,ARI,21,RB,16,0,176,793,7,39,33,4.5,49.6,4,2009
Michael Turner,ATL,26,RB,16,16,376,1699,17,85,70,4.5,106.2,3,2008
Adrian Peterson,MIN,23,RB,16,15,363,1760,10,82,67,4.8,110,9,2008
Clinton Portis,WAS,27,RB,16,16,342,1487,9,78,31,4.3,92.9,3,2008
Matt Forte,CHI,23,RB,16,16,316,1238,8,65,50,3.9,77.4,1,2008
Ryan Grant,GNB,26,RB,16,14,312,1203,4,54,57,3.9,75.2,4,2008
LaDainian Tomlinson,SDG,29,RB,16,16,292,1110,11,52,45,3.8,69.4,1,2008
Thomas Jones,NYJ,30,RB,16,14,290,1312,13,63,59,4.5,82,2,2008
Jamal Lewis,CLE,29,RB,16,16,279,1002,4,43,29,3.6,62.6,2,2008
DeAngelo Williams,CAR,25,RB,16,16,273,1515,18,65,69,5.5,94.7,0,2008
Steve Slaton,HOU,22,RB,16,15,268,1282,9,62,71,4.8,80.1,3,2008
Steven Jackson,STL,25,RB,12,11,253,1042,7,57,56,4.1,86.8,5,2008
Chris Johnson,TEN,23,RB,15,14,251,1228,9,54,66,4.9,81.9,1,2008
Marshawn Lynch,BUF,22,RB,15,15,250,1036,8,53,50,4.1,69.1,2,2008
Frank Gore,SFO,25,RB,14,14,240,1036,6,44,41,4.3,74,6,2008
Marion Barber III,DAL,25,RB,15,13,238,885,7,57,35,3.7,59,7,2008
Kevin Smith,DET,22,RB,16,12,238,976,8,51,50,4.1,61,2,2008
Brian Westbrook,PHI,29,RB,14,14,233,936,9,49,39,4,66.9,2,2008
Le'Ron McClain,BAL,24,RB,16,16,232,902,10,53,82,3.9,56.4,4,2008
Brandon Jacobs,NYG,26,RB,13,13,219,1089,15,58,44,5,83.8,3,2008
Justin Fargas,OAK,28,RB,14,14,218,853,1,33,42,3.9,60.9,3,2008
Cedric Benson,CIN,26,RB,12,10,214,747,2,36,46,3.5,62.3,2,2008
Ronnie Brown,MIA,27,RB,16,13,214,916,10,49,62,4.3,57.3,1,2008
Willie Parker,PIT,28,RB,11,11,210,791,5,29,34,3.8,71.9,0,2008
LenDale White,TEN,24,RB,16,2,200,773,15,43,80,3.9,48.3,1,2008
Maurice Jones-Drew,JAX,23,RB,16,3,197,824,12,49,46,4.2,51.5,6,2008
Larry Johnson,KAN,29,RB,12,12,193,874,5,44,65,4.5,72.8,5,2008
Warrick Dunn,TAM,33,RB,15,6,186,786,2,31,40,4.2,52.4,0,2008
Jonathan Stewart,CAR,21,RB,16,0,184,836,10,42,41,4.5,52.3,2,2008
Derrick Ward,NYG,28,RB,16,3,182,1025,2,53,51,5.6,64.1,2,2008
Clinton Portis,WAS,26,RB,16,16,325,1262,11,61,32,3.9,78.9,6,2007
Edgerrin James,ARI,29,RB,16,16,324,1222,7,57,27,3.8,76.4,5,2007
Willie Parker,PIT,27,RB,15,15,321,1316,2,48,32,4.1,87.7,4,2007
LaDainian Tomlinson,SDG,28,RB,16,16,315,1474,15,75,49,4.7,92.1,0,2007
Thomas Jones,NYJ,29,RB,16,14,310,1119,1,57,36,3.6,69.9,2,2007
LenDale White,TEN,23,RB,16,16,303,1110,7,60,28,3.7,69.4,5,2007
Jamal Lewis,CLE,28,RB,15,15,298,1304,9,59,66,4.4,86.9,4,2007
Willis McGahee,BAL,26,RB,15,15,294,1207,7,57,46,4.1,80.5,4,2007
Marshawn Lynch,BUF,21,RB,13,13,280,1115,7,55,56,4,85.8,2,2007
Brian Westbrook,PHI,28,RB,15,15,278,1333,7,74,36,4.8,88.9,2,2007
Joseph Addai,IND,24,RB,15,15,261,1072,12,66,23,4.1,71.5,0,2007
Frank Gore,SFO,24,RB,15,15,260,1102,5,42,43,4.2,73.5,4,2007
DeShaun Foster,CAR,27,RB,16,16,247,876,3,43,20,3.5,54.8,7,2007
Adrian Peterson,MIN,22,RB,14,9,238,1341,12,63,73,5.6,95.8,4,2007
Steven Jackson,STL,24,RB,12,12,237,1002,5,37,54,4.2,83.5,5,2007
Warrick Dunn,ATL,32,RB,16,15,227,720,4,36,38,3.2,45,2,2007
Fred Taylor,JAX,31,RB,15,15,223,1202,5,45,80,5.4,80.1,2,2007
Justin Fargas,OAK,27,RB,14,7,222,1009,4,52,48,4.5,72.1,3,2007
Earnest Graham,TAM,27,RB,15,10,222,898,10,47,28,4,59.9,1,2007
Shaun Alexander,SEA,30,RB,13,10,207,716,4,39,25,3.5,55.1,2,2007
Marion Barber III,DAL,24,RB,16,0,204,975,10,54,54,4.8,60.9,3,2007
Brandon Jacobs,NYG,25,RB,11,9,202,1009,4,52,43,5,91.7,5,2007
Cedric Benson,CHI,25,RB,11,11,196,674,4,34,43,3.4,61.3,3,2007
Ron Dayne,HOU,29,RB,13,8,194,773,6,44,39,4,59.5,1,2007
Ryan Grant,GNB,25,RB,15,7,188,956,8,38,66,5.1,63.7,1,2007
Laurence Maroney,NWE,22,RB,13,6,185,835,6,48,59,4.5,64.2,0,2007
Kenny Watson,CIN,29,RB,16,5,178,763,7,42,24,4.3,47.7,3,2007
Rudi Johnson,CIN,28,RB,11,9,170,497,3,27,22,2.9,45.2,3,2007
Travis Henry,DEN,29,RB,12,7,167,691,4,37,33,4.1,57.6,3,2007
Larry Johnson,KAN,27,RB,16,16,416,1789,17,91,47,4.3,111.8,2,2006
LaDainian Tomlinson,SDG,27,RB,16,16,348,1815,28,83,85,5.2,113.4,2,2006
Steven Jackson,STL,23,RB,16,16,346,1528,13,73,59,4.4,95.5,4,2006
Rudi Johnson,CIN,27,RB,16,15,341,1309,12,70,22,3.8,81.8,6,2006
Edgerrin James,ARI,28,RB,16,16,337,1159,6,61,18,3.4,72.4,3,2006
Willie Parker,PIT,26,RB,16,16,337,1494,13,72,76,4.4,93.4,7,2006
Tiki Barber,NYG,31,RB,16,16,327,1662,5,79,55,5.1,103.9,3,2006
Jamal Lewis,BAL,27,RB,16,16,314,1132,9,48,52,3.6,70.8,4,2006
Frank Gore,SFO,23,RB,16,16,312,1695,8,67,72,5.4,105.9,6,2006
Chester Taylor,MIN,27,RB,15,15,303,1216,6,54,95,4,81.1,5,2006
Thomas Jones,CHI,28,RB,16,16,296,1210,6,63,30,4.1,75.6,1,2006
Warrick Dunn,ATL,31,RB,16,16,286,1140,4,48,90,4,71.3,1,2006
Travis Henry,TEN,28,RB,14,13,270,1211,7,50,70,4.5,86.5,3,2006
Julius Jones,DAL,25,RB,16,16,267,1084,4,48,77,4.1,67.8,1,2006
Ahman Green,GNB,29,RB,14,14,266,1059,5,55,70,4,75.6,4,2006
Willis McGahee,BUF,25,RB,14,14,259,990,6,50,57,3.8,70.7,4,2006
Shaun Alexander,SEA,29,RB,10,10,252,896,7,54,33,3.6,89.6,6,2006
Ladell Betts,WAS,27,RB,16,9,245,1154,4,60,26,4.7,72.1,6,2006
Deuce McAllister,NOR,28,RB,15,13,244,1057,10,53,57,4.3,70.5,3,2006
Ronnie Brown,MIA,25,RB,13,12,241,1008,5,50,47,4.2,77.5,4,2006
Brian Westbrook,PHI,27,RB,15,14,240,1217,7,60,71,5.1,81.1,2,2006
Tatum Bell,DEN,25,RB,13,13,233,1025,2,47,51,4.4,78.8,5,2006
Fred Taylor,JAX,30,RB,15,15,231,1146,5,47,76,5,76.4,3,2006
DeShaun Foster,CAR,26,RB,14,14,227,897,3,49,43,4,64.1,4,2006
Joseph Addai,IND,23,RB,16,0,226,1081,7,67,41,4.8,67.6,2,2006
Cadillac Williams,TAM,24,RB,14,14,225,798,1,32,38,3.5,57,3,2006
Reuben Droughns,CLE,28,RB,14,12,220,758,4,38,22,3.4,54.1,5,2006
Corey Dillon,NWE,32,RB,16,13,199,812,13,49,50,4.1,50.8,2,2006
Dominic Rhodes,IND,27,RB,16,16,187,641,5,40,17,3.4,40.1,3,2006
Shaun Alexander,SEA,28,RB,16,16,370,1880,27,109,88,5.1,117.5,5,2005
Edgerrin James,IND,27,RB,15,15,360,1506,13,97,33,4.2,100.4,2,2005
Tiki Barber,NYG,30,RB,16,16,357,1860,9,74,95,5.2,116.3,1,2005
Clinton Portis,WAS,24,RB,16,16,352,1516,11,76,47,4.3,94.8,3,2005
LaDainian Tomlinson,SDG,26,RB,16,16,339,1462,18,72,62,4.3,91.4,3,2005
Rudi Johnson,CIN,26,RB,16,14,337,1458,12,80,33,4.3,91.1,1,2005
Larry Johnson,KAN,26,RB,16,9,336,1750,20,99,49,5.2,109.4,5,2005
Willis McGahee,BUF,24,RB,16,15,325,1247,5,71,27,3.8,77.9,1,2005
Thomas Jones,CHI,27,RB,15,15,314,1335,9,63,42,4.3,89,2,2005
Reuben Droughns,CLE,27,RB,16,16,309,1232,2,61,75,4,77,6,2005
Cadillac Williams,TAM,23,RB,14,14,290,1178,6,59,71,4.1,84.1,3,2005
Warrick Dunn,ATL,30,RB,16,16,280,1416,3,67,65,5.1,88.5,3,2005
LaMont Jordan,OAK,27,RB,14,14,272,1025,9,62,26,3.8,73.2,2,2005
Jamal Lewis,BAL,26,RB,15,15,269,906,3,49,25,3.4,60.4,5,2005
Julius Jones,DAL,24,RB,13,12,257,993,5,48,51,3.9,76.4,4,2005
Willie Parker,PIT,25,RB,15,15,255,1202,4,48,80,4.7,80.1,4,2005
Steven Jackson,STL,22,RB,15,15,254,1046,8,50,51,4.1,69.7,3,2005
Mike Anderson,DEN,32,RB,15,15,239,1014,12,61,44,4.2,67.6,2,2005
Domanick Williams,HOU,25,RB,11,11,230,976,2,39,44,4.2,88.7,2,2005
Chris Brown,TEN,24,RB,15,14,224,851,5,37,38,3.8,56.7,4,2005
Curtis Martin,NYJ,32,RB,12,12,220,735,5,37,49,3.3,61.3,2,2005
Corey Dillon,NWE,31,RB,12,10,209,733,12,51,29,3.5,61.1,1,2005
Ronnie Brown,MIA,24,RB,15,14,207,907,4,42,65,4.4,60.5,4,2005
DeShaun Foster,CAR,25,RB,15,5,205,879,2,38,70,4.3,58.6,2,2005
Fred Taylor,JAX,29,RB,11,11,194,787,3,29,71,4.1,71.5,0,2005
Kevin Jones,DET,23,RB,13,13,186,664,5,29,40,3.6,51.1,2,2005
Stephen Davis,CAR,31,RB,13,11,180,549,12,32,39,3.1,42.2,2,2005
Kevan Barlow,SFO,26,RB,12,12,176,581,3,20,29,3.3,48.4,2,2005
Tatum Bell,DEN,24,RB,15,1,173,921,8,42,68,5.3,61.4,3,2005
Curtis Martin,NYJ,31,RB,16,16,371,1697,12,93,25,4.6,106.1,2,2004
Rudi Johnson,CIN,25,RB,16,16,361,1454,12,74,52,4,90.9,4,2004
Shaun Alexander,SEA,27,RB,16,16,353,1696,16,78,44,4.8,106,5,2004
Corey Dillon,NWE,30,RB,15,14,345,1635,12,84,44,4.7,109,5,2004
Clinton Portis,WAS,23,RB,15,15,343,1315,5,67,64,3.8,87.7,5,2004
LaDainian Tomlinson,SDG,25,RB,15,15,339,1335,17,74,42,3.9,89,6,2004
Edgerrin James,IND,26,RB,16,16,334,1548,9,78,40,4.6,96.8,6,2004
Tiki Barber,NYG,29,RB,16,14,322,1518,13,82,72,4.7,94.9,5,2004
Domanick Williams,HOU,24,RB,15,15,302,1188,13,57,44,3.9,79.2,4,2004
Willis McGahee,BUF,23,RB,16,11,284,1128,13,65,41,4,70.5,4,2004
Reuben Droughns,DEN,26,RB,16,15,275,1240,6,72,51,4.5,77.5,5,2004
Deuce McAllister,NOR,26,RB,14,14,269,1074,9,54,71,4,76.7,5,2004
Emmitt Smith,ARI,35,RB,15,15,267,937,9,43,29,3.5,62.5,4,2004
Warrick Dunn,ATL,29,RB,16,16,265,1106,9,47,60,4.2,69.1,3,2004
Fred Taylor,JAX,28,RB,14,14,260,1224,2,49,46,4.7,87.4,3,2004
Ahman Green,GNB,27,RB,15,15,259,1163,7,58,90,4.5,77.5,7,2004
Jerome Bettis,PIT,32,RB,15,6,250,941,13,50,29,3.8,62.7,1,2004
Kevan Barlow,SFO,25,RB,15,14,244,822,7,45,60,3.4,54.8,2,2004
Kevin Jones,DET,22,RB,15,14,241,1133,5,59,74,4.7,75.5,2,2004
Thomas Jones,CHI,26,RB,14,14,240,948,7,49,54,4,67.7,2,2004
Jamal Lewis,BAL,25,RB,12,12,235,1006,7,51,75,4.3,83.8,2,2004
Chris Brown,TEN,23,RB,11,11,220,1067,6,40,52,4.9,97,6,2004
Michael Pittman,TAM,29,RB,13,13,219,926,7,41,78,4.2,71.2,6,2004
Nick Goings,CAR,26,RB,16,8,217,821,6,42,57,3.8,51.3,1,2004
Lee Suggs,CLE,24,RB,10,3,199,744,2,39,39,3.7,74.4,6,2004
Julius Jones,DAL,23,RB,8,7,197,819,7,44,53,4.2,102.4,3,2004
Priest Holmes,KAN,31,RB,8,8,196,892,14,59,33,4.6,111.5,4,2004
Marshall Faulk,STL,31,RB,14,14,195,774,3,46,40,4,55.3,2,2004
Duce Staley,PIT,29,RB,10,10,192,830,1,38,38,4.3,83,3,2004
Ricky Williams,MIA,26,RB,16,16,392,1372,9,68,45,3.5,85.8,7,2003
Jamal Lewis,BAL,24,RB,16,16,387,2066,14,85,82,5.3,129.1,8,2003
Ahman Green,GNB,26,RB,16,16,355,1883,15,100,98,5.3,117.7,7,2003
Deuce McAllister,NOR,25,RB,16,16,351,1641,8,69,76,4.7,102.6,6,2003
Fred Taylor,JAX,27,RB,16,16,345,1572,6,79,62,4.6,98.3,6,2003
Travis Henry,BUF,25,RB,15,15,331,1356,10,77,64,4.1,90.4,7,2003
Shaun Alexander,SEA,26,RB,16,15,326,1435,14,81,55,4.4,89.7,4,2003
Curtis Martin,NYJ,30,RB,16,16,323,1308,2,57,56,4,81.8,2,2003
Priest Holmes,KAN,30,RB,16,16,320,1420,27,90,31,4.4,88.8,1,2003
Stephen Davis,CAR,29,RB,14,14,318,1444,8,69,40,4.5,103.1,3,2003
LaDainian Tomlinson,SDG,24,RB,16,16,313,1645,13,83,73,5.3,102.8,2,2003
Eddie George,TEN,30,RB,16,16,312,1031,5,52,27,3.3,64.4,1,2003
Edgerrin James,IND,25,RB,13,13,310,1259,11,84,43,4.1,96.8,5,2003
Clinton Portis,DEN,22,RB,13,13,290,1591,14,79,65,5.5,122.4,3,2003
Tiki Barber,NYG,28,RB,16,16,278,1216,2,68,27,4.4,76,9,2003
Troy Hambrick,DAL,27,RB,16,16,275,972,5,58,42,3.5,60.8,4,2003
Jerome Bettis,PIT,31,RB,16,10,246,811,7,44,21,3.3,50.7,5,2003
Anthony Thomas,CHI,26,RB,13,13,244,1024,6,47,67,4.2,78.8,1,2003
Domanick Williams,HOU,23,RB,14,10,238,1031,8,48,51,4.3,73.6,4,2003
Marcel Shipp,ARI,25,RB,16,11,228,830,0,37,36,3.6,51.9,3,2003
Rudi Johnson,CIN,24,RB,13,5,215,957,9,51,54,4.5,73.6,0,2003
Marshall Faulk,STL,30,RB,11,11,209,818,10,51,52,3.9,74.4,0,2003
Kevan Barlow,SFO,24,RB,16,4,201,1024,6,44,78,5.1,64,5,2003
T.J. Duckett,ATL,22,RB,16,10,197,779,11,39,55,4,48.7,3,2003
Michael Pittman,TAM,28,RB,16,13,187,751,0,39,17,4,46.9,4,2003
Antowain Smith,NWE,31,RB,13,6,182,642,3,31,30,3.5,49.4,1,2003
Kevin Faulk,NWE,27,RB,15,8,178,638,0,30,23,3.6,42.5,4,2003
Garrison Hearst,SFO,32,RB,12,12,178,768,3,41,36,4.3,64,2,2003
Moe Williams,MIN,29,RB,16,7,174,745,5,43,61,4.3,46.6,2,2003
Ricky Williams,MIA,25,RB,16,16,383,1853,16,94,63,4.8,115.8,7,2002
LaDainian Tomlinson,SDG,23,RB,16,16,372,1683,14,96,76,4.5,105.2,3,2002
Eddie George,TEN,29,RB,16,16,343,1165,12,62,35,3.4,72.8,1,2002
Travis Henry,BUF,24,RB,16,16,325,1438,13,78,34,4.4,89.9,11,2002
Deuce McAllister,NOR,24,RB,15,15,325,1388,13,68,62,4.3,92.5,4,2002
Corey Dillon,CIN,28,RB,16,16,314,1311,7,72,67,4.2,81.9,5,2002
Priest Holmes,KAN,29,RB,14,14,313,1615,21,105,56,5.2,115.4,1,2002
Jamal Lewis,BAL,23,RB,16,15,308,1327,6,66,75,4.3,82.9,8,2002
Tiki Barber,NYG,27,RB,16,15,304,1387,11,71,70,4.6,86.7,9,2002
Shaun Alexander,SEA,25,RB,16,16,295,1175,16,64,58,4,73.4,3,2002
Fred Taylor,JAX,26,RB,16,16,287,1314,8,50,63,4.6,82.1,3,2002
Ahman Green,GNB,25,RB,14,14,286,1240,7,57,43,4.3,88.6,4,2002
Edgerrin James,IND,24,RB,14,14,277,989,2,59,20,3.6,70.6,4,2002
Clinton Portis,DEN,21,RB,16,12,273,1508,15,82,59,5.5,94.3,5,2002
Duce Staley,PHI,27,RB,16,16,269,1029,5,58,57,3.8,64.3,3,2002
Curtis Martin,NYJ,29,RB,16,16,261,1094,7,55,35,4.2,68.4,0,2002
Michael Bennett,MIN,24,RB,16,16,255,1296,5,47,85,5.1,81,4,2002
Emmitt Smith,DAL,33,RB,16,16,254,975,5,50,30,3.8,60.9,3,2002
Antowain Smith,NWE,30,RB,16,15,252,982,6,58,42,3.9,61.4,2,2002
William Green,CLE,23,RB,16,10,243,887,6,39,64,3.7,55.4,4,2002
James Stewart,DET,31,RB,14,9,231,1021,4,47,56,4.4,72.9,0,2002
Warrick Dunn,ATL,27,RB,15,14,230,927,7,39,59,4,61.8,4,2002
Garrison Hearst,SFO,31,RB,16,16,215,972,8,53,40,4.5,60.8,4,2002
Anthony Thomas,CHI,25,RB,12,12,214,721,6,35,34,3.4,60.1,5,2002
Marshall Faulk,STL,29,RB,14,10,212,953,8,54,44,4.5,68.1,4,2002
Lamar Smith,CAR,32,RB,11,11,209,737,7,32,59,3.5,67,2,2002
Stephen Davis,WAS,28,RB,12,12,207,820,7,49,33,4,68.3,4,2002
Michael Pittman,TAM,27,RB,16,15,204,718,1,37,21,3.5,44.9,3,2002
Jonathan Wells,HOU,23,RB,16,11,197,529,3,23,37,2.7,33.1,3,2002
Stephen Davis,WAS,27,RB,16,16,356,1432,5,75,32,4,89.5,6,2001
Corey Dillon,CIN,27,RB,16,16,340,1315,10,69,96,3.9,82.2,5,2001
LaDainian Tomlinson,SDG,22,RB,16,16,339,1236,10,68,54,3.6,77.3,8,2001
Curtis Martin,NYJ,28,RB,16,16,333,1513,10,78,47,4.5,94.6,2,2001
Priest Holmes,KAN,28,RB,16,16,327,1555,8,81,41,4.8,97.2,4,2001
Eddie George,TEN,28,RB,16,16,315,939,5,40,27,3,58.7,8,2001
Lamar Smith,MIA,31,RB,16,16,313,968,6,48,25,3.1,60.5,6,2001
Ricky Williams,NOR,24,RB,16,16,313,1245,6,61,46,4,77.8,8,2001
Shaun Alexander,SEA,24,RB,16,12,309,1318,14,64,88,4.3,82.4,4,2001
Ahman Green,GNB,24,RB,16,16,304,1387,9,57,83,4.6,86.7,5,2001
Antowain Smith,NWE,29,RB,16,15,287,1157,12,61,44,4,72.3,4,2001
Anthony Thomas,CHI,24,RB,14,10,278,1183,7,58,46,4.3,84.5,0,2001
Emmitt Smith,DAL,32,RB,14,14,261,1021,3,48,44,3.9,72.9,1,2001
Marshall Faulk,STL,28,RB,14,14,260,1382,12,70,71,5.3,98.7,3,2001
Garrison Hearst,SFO,30,RB,16,16,252,1206,4,53,43,4.8,75.4,1,2001
Michael Pittman,ARI,26,RB,15,14,241,846,5,42,42,3.5,56.4,5,2001
Maurice Smith,ATL,25,RB,16,12,237,760,5,38,58,3.2,47.5,1,2001
Dominic Rhodes,IND,22,RB,15,10,233,1104,9,58,77,4.7,73.6,6,2001
Jerome Bettis,PIT,29,RB,11,11,225,1072,4,46,48,4.8,97.5,3,2001
Travis Henry,BUF,23,RB,13,12,213,729,4,39,25,3.4,56.1,5,2001
Stacey Mack,JAX,26,RB,16,11,213,877,9,50,54,4.1,54.8,3,2001
Charlie Garner,OAK,29,RB,16,16,211,839,1,33,38,4,52.4,2,2001
James Jackson,CLE,25,RB,11,10,195,554,2,34,22,2.8,50.4,1,2001
Ron Dayne,NYG,23,rb,16,7,180,690,7,39,61,3.8,43.1,2,2001
Mike Anderson,DEN,28,rb,16,7,175,678,4,36,62,3.9,42.4,1,2001
Michael Bennett,MIN,23,RB,13,13,172,682,2,28,31,4,52.5,0,2001
Terry Allen,BAL,33,RB,11,8,168,658,3,32,26,3.9,59.8,1,2001
Terrell Davis,DEN,29,RB,8,8,167,701,0,39,57,4.2,87.6,2,2001
Tiki Barber,NYG,26,RB,14,9,166,865,4,40,36,5.2,61.8,8,2001
Eddie George,TEN,27,RB,16,16,403,1509,14,78,35,3.7,94.3,5,2000
Edgerrin James,IND,22,RB,16,16,387,1709,13,100,30,4.4,106.8,5,2000
Jerome Bettis,PIT,28,RB,16,16,355,1341,8,72,30,3.8,83.8,1,2000
James Stewart,DET,29,RB,16,16,339,1184,10,66,34,3.5,74,4,2000
Stephen Davis,WAS,26,RB,15,15,332,1318,11,72,50,4,87.9,4,2000
Curtis Martin,NYJ,27,RB,16,16,316,1204,9,64,55,3.8,75.3,2,2000
Corey Dillon,CIN,26,RB,16,16,315,1435,7,71,80,4.6,89.7,4,2000
Jamal Lewis,BAL,21,RB,16,13,309,1364,6,62,45,4.4,85.3,6,2000
Lamar Smith,MIA,30,RB,15,15,309,1139,14,65,68,3.7,75.9,3,2000
Mike Anderson,DEN,27,RB,16,12,297,1487,15,78,80,5,92.9,4,2000
Robert Smith,MIN,28,RB,16,16,295,1521,7,63,72,5.2,95.1,4,2000
Emmitt Smith,DAL,31,RB,16,16,294,1203,9,66,52,4.1,75.2,6,2000
Fred Taylor,JAX,24,RB,13,13,292,1399,12,73,71,4.8,107.6,4,2000
James Allen,CHI,25,RB,16,15,290,1120,2,56,29,3.9,70,5,2000
Jamal Anderson,ATL,28,RB,16,16,282,1024,6,52,42,3.6,64,6,2000
Ricky Watters,SEA,31,RB,16,16,278,1242,7,60,55,4.5,77.6,5,2000
Ahman Green,GNB,23,RB,16,11,263,1175,10,62,39,4.5,73.4,6,2000
Charlie Garner,SFO,28,RB,16,15,258,1142,7,57,42,4.4,71.4,4,2000
Marshall Faulk,STL,27,RB,14,14,253,1359,18,78,36,5.4,97.1,0,2000
Warrick Dunn,TAM,25,RB,16,14,248,1133,8,43,70,4.6,70.8,1,2000
Ricky Williams,NOR,23,RB,10,10,248,1000,8,56,26,4,100,6,2000
Tyrone Wheatley,OAK,28,RB,14,13,232,1046,9,52,80,4.5,74.7,4,2000
Ron Dayne,NYG,22,RB,16,4,228,770,5,48,50,3.4,48.1,1,2000
Tiki Barber,NYG,25,RB,16,12,213,1006,8,39,78,4.7,62.9,9,2000
Michael Pittman,ARI,25,RB,16,12,184,719,4,36,29,3.9,44.9,5,2000
Tim Biakabutuka,CAR,26,RB,12,11,173,627,2,29,43,3.6,52.3,4,2000
Travis Prentice,CLE,24,RB,16,11,173,512,7,30,17,3,32,2,2000
Kevin Faulk,NWE,24,RB,16,9,164,570,4,32,18,3.5,35.6,6,2000
Shawn Bryson,BUF,24,RB,16,7,161,591,0,32,24,3.7,36.9,1,2000
